Date,Open,High,Low,Close,Adj Close,Volume
10/11/2019,140.119995,141.029999,139.5,139.679993,138.107697,25446000
10/14/2019,139.690002,140.289993,139.520004,139.550003,137.979172,13304300
10/15/2019,140.059998,141.789993,139.809998,141.570007,139.97644,19695700
10/16/2019,140.789993,140.990005,139.529999,140.410004,138.829483,20751600
10/17/2019,140.949997,141.419998,139.020004,139.690002,138.117584,21460600
10/18/2019,139.759995,140,136.559998,137.410004,135.863251,32273500
10/21/2019,138.449997,138.5,137.009995,138.429993,136.871765,20078200
10/22/2019,138.970001,140.009995,136.259995,136.369995,134.834961,27431000
10/23/2019,136.880005,137.449997,135.610001,137.240005,135.69519,29844600
10/24/2019,139.389999,140.419998,138.669998,139.940002,138.364792,37029300
10/25/2019,139.339996,141.139999,139.199997,140.729996,139.145874,25959700
10/28/2019,144.399994,145.669998,143.509995,144.190002,142.56694,35280100
10/29/2019,144.080002,144.5,142.649994,142.830002,141.222244,20589500
10/30/2019,143.520004,145,142.789993,144.610001,142.982224,18496600
10/31/2019,144.899994,144.929993,142.990005,143.369995,141.756165,24605100
11/1/2019,144.259995,144.419998,142.970001,143.720001,142.102234,33128400
11/4/2019,144.830002,145,144.160004,144.550003,142.922897,16912000
11/5/2019,144.970001,145.020004,143.910004,144.460007,142.833923,18250200
11/6/2019,144.369995,144.520004,143.199997,144.059998,142.4384,16575800
11/7/2019,143.839996,144.880005,143.770004,144.259995,142.636139,17786700
11/8/2019,143.979996,145.990005,143.759995,145.960007,144.317017,16732700
11/11/2019,145.339996,146.419998,144.729996,146.110001,144.465332,14362600
11/12/2019,146.279999,147.570007,146.059998,147.070007,145.41452,18641600
11/13/2019,146.740005,147.460007,146.279999,147.309998,145.651825,16919200
11/14/2019,147.020004,148.410004,147,148.059998,146.393372,19729800
11/15/2019,148.929993,149.990005,148.270004,149.970001,148.281891,23485700
11/18/2019,150.070007,150.550003,148.979996,150.339996,148.64772,21534000
11/19/2019,150.880005,151.330002,150.199997,150.389999,148.697144,23935700
11/20/2019,150.309998,150.839996,148.460007,149.619995,148.439194,25696800
11/21/2019,149.399994,149.800003,148.5,149.479996,148.300293,18576100
11/22/2019,150.070007,150.300003,148.820007,149.589996,148.409439,15901800
11/25/2019,150,151.350006,149.919998,151.229996,150.036499,22420900
11/26/2019,151.360001,152.419998,151.320007,152.029999,150.830185,24620100
11/27/2019,152.330002,152.5,151.520004,152.320007,151.117905,15184400
11/29/2019,152.100006,152.300003,151.279999,151.380005,150.185318,11977300
12/2/2019,151.809998,151.830002,148.320007,149.550003,148.369766,27418400
12/3/2019,147.490005,149.429993,146.649994,149.309998,148.131653,24066000
12/4/2019,150.139999,150.179993,149.199997,149.850006,148.667389,17574700
12/5/2019,150.050003,150.320007,149.479996,149.929993,148.74675,17869100
12/6/2019,150.990005,151.869995,150.270004,151.75,150.552383,16403500
12/9/2019,151.070007,152.210007,150.910004,151.360001,150.165482,16687400
12/10/2019,151.289993,151.889999,150.759995,151.130005,149.937302,16476100
12/11/2019,151.539993,151.869995,150.330002,151.699997,150.502777,18856600
12/12/2019,151.649994,153.440002,151.020004,153.240005,152.03064,24612100
12/13/2019,153,154.889999,152.830002,154.529999,153.310455,23845400
12/16/2019,155.110001,155.899994,154.820007,155.529999,154.302551,24144200
12/17/2019,155.449997,155.710007,154.449997,154.690002,153.469193,25425600
12/18/2019,154.300003,155.479996,154.179993,154.369995,153.151733,24129200
12/19/2019,154,155.770004,153.75,155.710007,154.481155,24958900
12/20/2019,157.350006,158.490005,156.289993,157.410004,156.16774,53477500
12/23/2019,158.119995,158.119995,157.270004,157.410004,156.16774,17718200
12/24/2019,157.479996,157.710007,157.119995,157.380005,156.137955,8989200
12/26/2019,157.559998,158.729996,157.399994,158.669998,157.417786,14520600
12/27/2019,159.449997,159.550003,158.220001,158.960007,157.705505,18412800
12/30/2019,158.990005,159.020004,156.729996,157.589996,156.346298,16348400
12/31/2019,156.770004,157.770004,156.449997,157.699997,156.455429,18369400
1/2/2020,158.779999,160.729996,158.330002,160.619995,159.352386,22622100
1/3/2020,158.320007,159.949997,158.059998,158.619995,157.368179,21116200
1/6/2020,157.080002,159.100006,156.509995,159.029999,157.774948,20813700
1/7/2020,159.320007,159.669998,157.320007,157.580002,156.336395,21634100
1/8/2020,158.929993,160.800003,157.949997,160.089996,158.826569,27746500
1/9/2020,161.839996,162.220001,161.029999,162.089996,160.810776,21385000
1/10/2020,162.820007,163.220001,161.179993,161.339996,160.066711,20725900
1/13/2020,161.759995,163.309998,161.259995,163.279999,161.991394,21626500
1/14/2020,163.389999,163.600006,161.720001,162.130005,160.850479,23477400
1/15/2020,162.619995,163.940002,162.570007,163.179993,161.892197,21417900
1/16/2020,164.350006,166.240005,164.029999,166.169998,164.858597,23865400
1/17/2020,167.419998,167.470001,165.429993,167.100006,165.781265,34371700
1/21/2020,166.679993,168.190002,166.429993,166.5,165.185989,29517200
1/22/2020,167.399994,167.490005,165.679993,165.699997,164.392303,24138800
